listing_id,current_locality,resolved_locality,building_name,raw_message_snippet,source,group_name,is_link_only
27271,,Western Suburbs Mid,Kirshna Kaveri,"SALE JODI FLAT 

1 BHK SUNSHINE 
1 BHK  SUNSHINE 
PRICE 4.30 cr

1 BHK KIRSHNA KAVERI 
1 BHK KIRSHNA KAVERI 
Price- 3. 60 cr

Call- 9769636430
            9769600512
             9769636430",building_name (building_name_aliases),Windsor Grande & Bayview,False
63933,,Western Suburbs Mid,Oberoi Sky Hights,"*▶️▶️FLATS ON LEASE◀️◀️*

*1RK CONVERTED 1BHK KAMAL CHS MODEL TOWN*
WITHOUT 3RD FLOOR UNFURNISHED FLAT ASKING 35K

*2BHK ASHISH BUILDING MANISH MARKET*
 BRAND NEW BUILDING UNTOUCHED FLAT WITH PARKING",building_name (building_name_aliases),🔱 MUMBAI REALTY  🔱  AJAAY AHUJA -           📲-8082800800. 📲-8559977977,False
65160,,Andheri East,Vinay nagar,"⭐️Siddhi Realty ⭐️
⭐️new Inventory’s ⭐️
⭐️1bhk Urgent sale ⭐️

🏠JP Aviva 
📍Vinay nagar 
  Aera 390 Cost 64L

🏠swagat Heights 
📍Hatkesh 
  Aera 425 Cost 69L

🏠Sendstone 
📍Kanakia 
🚗car parking 
  Aera",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
78569,,Western Suburbs Extended,Kingston Palacia,"Available flat for Rent 
    *Kingston Palacia*
            *2BHK*
      Carpet:- 611sqft
      Semi furnished 
      One car parking 
         Rent:- 30k
   ____________________
    *Kingston Palacia",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
91204,,Thane West,Puranik Home Town,"🏡 FOR SALE PROPERTIES 🏡

🏢 DOSTI IMPERIA

🔹 4.5 BHK – Fully Furnished
📐 Carpet Area: 1800 Sq. Ft.
💰 Price: ₹4.70 Cr
🚗 Parking Available

━━━━━━━━━━━━━━━━━━

🏢 VIHANG VALLEY

🔹 1 BHK
📐 Carpet Area: 435",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
100743,Goregaon,Andheri East,Vinay nagar,"[11/07, 15:20] nandanmishra15419: 📣📣 Urgent Sale 📣📣
📢 3BHK Flat On Sale 📢

🏬 JP Euphoria 3BHK 
     Area 1386
     Cost. 1.70cr

🏬Evershine Woods 3BHK 
    🚗  car parking 
            Area 940",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
116866,,Thane West,Puranik Home Town,"🏢 PROPERTY FOR SALE

📍 Vihang Valley – 1 BHK

📐 Carpet Area: 435 Sq. Ft.
💰 Price: ₹66 Lakhs
🚗 Reserved Parking Available

━━━━━━━━━━━━━━━━━━
📍Puranik Home Town 
1BHK 
Price  -51 lakh 
Carpet - 480
Wit",building_name (building_name_aliases),KING'S OF REALTY THANE (3),False
124246,,South Mumbai Central,Indiabulls skyforest,"1)  *Urgent Requirements

 4  BHK outright at kalpataru magnus 

B wing has 4 bhk in series 4
Carpet area 1600

Send me Direct Listing 
Budget as per market 


2) Indiabulls skyforest 
3 bhk outright",building_name (building_name_aliases),Mumbai real estate group1,False
157592,,Western Suburbs Mid,Lashkariya Pearl,"*DIRECT 1BHK* 
AVAILABLE FOR RENT IN 

*LASHKARIYA PEARL* 
Higher floor  road facing       RENT - 38k
DEPOSIT - 1.50 LAKH                  🔥5 July 🔥
*FOR MORE DETAILS CONTACT* SOHEB SHAIKH 9892978839",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
167696,,Malad East,The Park Residence,"*Available for sale*
*KABRA METRO ONE*
3BHK 
HIGHER FLOOR 
Carpet area 913 sqft
Car parking 02 
Fully furnished 
*QUOTATION* 4.50cr negotiable 
More details contact 
*Amit Kamble*
9987257585

*Availab",building_name (building_name_aliases),G1 Realty (mumbai),False
167701,,Western Suburbs Mid,Oberoi Springs,"*Available rental*
2bhk 
*SUPREME 19*
Empty flat 
Higher floor 
Rent 1 lac 
Deposit 3 lac 
More details contact 
Family or company working bachelors allowed 
More details contact 
*Amit kamble*
998725",building_name (building_name_aliases),G1 Realty (mumbai),False
227045,Bandra West,Western Suburbs Prime,Imperial Height,"Direct 4 Bhk Converted into
3 Bhk flat Available on Rent & sale @Bandra west

*Imperial Height* 
Location : Near 21st road 
Type : Semi furnished + Servant room/Swimming Pool 
Parking : 3Carpark
Carpe",building_name (building_name_aliases),Bandra Broker Group,False
257168,Bandra West,Western Suburbs Prime,Chand Terrace,"✨ *AVL 3 BHK FOR OUTRIGHT* ✨
           
  *🏡 ELISHA APARTMENT  🏡*
〰️〰️〰️〰️〰️〰️〰️〰️〰️〰️
Location : St. josephs Road Bandra
Area : 1200 sq ft Carpet 
*Price : 9.25 Cr Nego*
Parking : 1 Car parking 
*ON",building_name (building_name_aliases),Lukesh Bandra Grp 1,False
257411,Andheri,Western Suburbs Mid,Bharat Sky Vista,"Wanted flat on Rent Andheri 

3/4 BHK 
Any Good Building 
Bharat Sky Vista 
Adani 
Kabra Metro one 
or Any Other Without Amenities 
Family client 
Immediately Closure 

Budget As Per Market 

Shree Sa",building_name (building_name_aliases),Exclusive Real Estate (Ziyaul),False
262372,Bandra West,Western Suburbs Prime,June Blossoms,"°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°
* *2BHK L/L* BANDRA W
* SEMI-FURNISH
* *EXPAT QUALITY* 
* *PREM GHAR*
* RENT : 18OK
* POSS: MAY 1ST WEEK.
°′°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°
*AV",building_name (building_name_aliases),Bandra-Khar-Santacruz PROPERTY CONSULTANTS,False
271694,,Western Suburbs Mid,The Park,"*Available 3Bhk ON RENT*

3bhk Rental 
*THE PARK*
Semi furnished 
Higher floor
Rent 2.10lac Negotiable 
Deposit 3 month 

Ashish 8108019905",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
283247,,Andheri East,Vinay nagar,"*2bhk for rent*

📍 Vinay nagar

🏢Jp North atria

Rent:- 32 k negotiable 

Deposit:- 1.50 lakh

*With car parking 🅿️*

*24/7 water supply💦*

*Muslim job profile will do*

Keys is at office🔑

For visit",building_name (building_name_aliases),MIRA BHAYANDER REAL ESTATE GROUP,False
283477,,Western Suburbs Mid,SAI SHANTI,"KRISHNA ASSOCIATES 


3 BHK RENTAL 


1) KASHIBHUVAN
850 CARPT
75 K

2) SAI SHANTI
TERRACE FLAT
95 K

CALL PRIYANK SHAH
9930301517
9819933937",building_name (building_name_aliases),Mumbai real estate group1,False
300878,,Western Suburbs Mid,Camron Height,"*4 BHK Available for Sale*
At Sundervan Complex 
Camron Height 
Spacious flat
1800 sqft carpet 
Higher floor 
2 parking 
Asking 8.80cr negotiable 
Side by side deal 
Call for More details 
*Basera Age",building_name (building_name_aliases),Real Estate Giants (24×7),False
307749,,Andheri East,Vinay nagar,"🏢 Siddhi Reality 🏢
📣📣 Urgent Sale 📣
🏤 2BHK Flat On Sale
💥 1.18cr 💥1.30cr

 
🏬 JP Estella 
📍 Vinay nagar 
     Area 650
     Cost. 1.30cr

🏬 Bhairav Residency 
📍 Kanakia 
     Area 650
     Cost 1.18cr",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
309492,Bandra West,Western Suburbs Prime,June Blossoms,"*ULTRA-LUXURY 4 BHK SEA VIEW FLAT FOR SALE IN BANDRA WEST*
- Project: *K L ASTORIA* 
- Location: Perry Cross Road, Bandra West
- Carpet Area: 1735 sqft
- Floor: Higher Floor with excellent views
- Con",building_name (building_name_aliases),Bandra Broker Group,False
313907,,Andheri East,vinay nagar,"🏢 Siddhi Reality 🏢
📣📣 Urgent Sale 📣
📢 2BHK Flat On Sale
🏬2BHK💥 85L 💥90L

 

🏬 Rekha Retreat Chs
📍 shanti park 
     Area 650
     Cost. 85L

🏬 Maniopus 1.5bhk
📍 Kashi mira
     Area 650
     Cost 85L",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
314769,,Western Suburbs Mid,Shanti park,"🏢 Siddhi Reality 🏢
📣📣 Urgent Sale 📣
🏤 2BHK Flat On Sale
💥 1.18cr 💥1.30cr

 
🏬 JP Estella 
📍 Vinay nagar 
     Area 650
     Cost. 1.30cr

🏬 Bhairav Residency 
📍 Kanakia 
     Area 650
     Cost 1.18cr",building_name (building_name_aliases),LAXMI PROPERTIES (Western),False
